uso_de_praticas_convencionais,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,municipio_ibge,count
"Aração e gradagem, Queimadas, Pastagem nativa",Pouco degradado,Silvanópolis,1
"Roça de toco, Pastagem nativa",,Silvanópolis,1
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Miracema do Tocantins,1
Aração e gradagem,Não possui degradação,Novo Jardim,1
"Roça de toco, Aração e gradagem, Queimadas, Uso de agrotóxicos",Não possui degradação,Filadélfia,1
"Roça de toco, Plantio convencional, Pastagem nativa",Não possui degradação,Paranã,1
"Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",,Carmolândia,1
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Caseara,1
"Plantio convencional, Uso de agrotóxicos",Degradação Média,Jaú do Tocantins,1
Plantio convencional,,Esperantina,1
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Axixá do Tocantins,1
"Roça de toco, Queimadas, Uso de agrotóxicos",Degradação Média,Luzinópolis,1
Plantio convencional,Degradação Média,Miracema do Tocantins,1
Roça de toco,,Axixá do Tocantins,1
"Plantio convencional, Aração e gradagem",,Araguaína,1
"Roça de toco, Pastagem nativa",,Paranã,1
"Plantio convencional, Aração e gradagem",,Abreulândia,1
"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Monocultura, Uso de agrotóxicos",Não possui degradação,Araguatins,1
"Plantio convencional, Aração e gradagem, Queimadas",Degradação Média,Nova Rosalândia,1
"Plantio convencional, Queimadas",Degradação Média,Nova Rosalândia,1
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,dois Irmãos do Tocantins,1
"Aração e gradagem, Queimadas, Monocultura, Uso de agrotóxicos",Não possui degradação,Filadélfia,1
Aração e gradagem,Pouco degradado,Divinópolis do Tocantins,1
"Roça de toco, Queimadas",,São Bento do Tocantins,1
Uso de agrotóxicos,Não possui degradação,Rio Sono,1
"Plantio convencional, Aração e gradagem, Pastagem nativa",Não possui degradação,Miracema do Tocantins,1
Não usa,Pouco degradado,Pium,1
"Plantio convencional, Aração e gradagem, Queimadas, Uso de agrotóxicos",Não possui degradação,Aliança do Tocantins,1
Plantio convencional,Degradação Média,Monte Santo do Tocantins,1
"Aração e gradagem, Uso de agrotóxicos",,São Miguel do Tocantins,1
Plantio convencional,Pouco degradado,Rio Sono,1
"Plantio convencional, Aração e gradagem",,Abreulândia,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,Barrolândia,1
"Plantio convencional, Não usa",Não possui degradação,Alvorada,1
"Roça de toco, Queimadas",Pouco degradado,Ananás,1
"Plantio convencional, Pastagem nativa",Degradação Média,Marianópolis do Tocantins,1
Plantio convencional,,São Salvador do Tocantins,1
"Plantio convencional, Aração e gradagem",Não possui degradação,Novo Jardim,1
"Aração e gradagem, Monocultura, Uso de agrotóxicos",,Guaraí,1
Pastagem nativa,Pouco degradado,Pium,1
Não usa,,Rio da Conceição,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Chapada de Areia,1
"Roça de toco, Queimadas",Pouco degradado,Filadélfia,1
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Aurora do Tocantins,1
"Aração e gradagem, Não usa",Não possui degradação,Pium,1
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Pium,1
"Plantio convencional, Aração e gradagem",Pouco degradado,Divinópolis do Tocantins,1
"Aração e gradagem, Queimadas, Uso de agrotóxicos",Pouco degradado,Aragominas,1
"Monocultura, Uso de agrotóxicos",Degradação Média,Aragominas,1
Aração e gradagem,Não possui degradação,Talismã,1
Pastagem nativa,Não possui degradação,Pium,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Araguaína,1
"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",Pouco degradado,Santa Terezinha do Tocantins,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,Wanderlândia,1
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Colméia,1
Plantio convencional,Não possui degradação,Almas,1
Roça de toco,,Aragominas,1
Aração e gradagem,Não possui degradação,Sucupira,1
"Roça de toco, Aração e gradagem, Queimadas",,Tocantínia,1
"Roça de toco, Queimadas, Uso de agrotóxicos",,Couto Magalhães,1
Aração e gradagem,Não possui degradação,Miranorte,1
Aração e gradagem,,Abreulândia,1
"Roça de toco, Plantio convencional, Pastagem nativa, Uso de agrotóxicos",Pouco degradado,Guaraí,1
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Uso de agrotóxicos",Pouco degradado,Araguaína,1
"Plantio convencional, Aração e gradagem",Não possui degradação,Ponte Alta do Bom Jesus,1
"Plantio convencional, Aração e gradagem",Degradação Média,Ponte Alta do Bom Jesus,1
"Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",,Monte do Carmo,1
Plantio convencional,,Nova Rosalândia,1
"Roça de toco, Plantio convencional",,Caseara,1
"Plantio convencional, Aração e gradagem, Monocultura, Uso de agrotóxicos",Degradação Média,Santa Rita do Tocantins,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,Paraíso do Tocantins,1
"Roça de toco, Plantio convencional, Pastagem nativa",Não possui degradação,Divinópolis do Tocantins,1
Plantio convencional,,Dianópolis,1
"Roça de toco, Plantio convencional",,Babaçulândia,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,Palmeiras do Tocantins,1
Plantio convencional,,Pugmil,1
"Plantio convencional, Aração e gradagem",,Bom Jesus do Tocantins,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,Palmas,1
"Roça de toco, Plantio convencional, Aração e gradagem",Pouco degradado,Araguanã,1
"Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",Pouco degradado,Barrolândia,1
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Aurora do Tocantins,1
"Plantio convencional, Aração e gradagem",,Paraíso do Tocantins,1
Plantio convencional,Não possui degradação,Monte Santo do Tocantins,1
Não usa,Não possui degradação,Filadélfia,1
"Roça de toco, Aração e gradagem, Queimadas, Não usa",Pouco degradado,Ananás,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Silvanópolis,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Muito degradado,Araguatins,1
"Aração e gradagem, Uso de agrotóxicos",Degradação Média,Cristalândia,1
"Plantio convencional, Aração e gradagem, Monocultura, Uso de agrotóxicos",Pouco degradado,Santa Rita do Tocantins,1
"Roça de toco, Queimadas, Pastagem nativa, Não usa",,Esperantina,1
"Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",Não possui degradação,Rio dos Bois,1
"Plantio convencional, Aração e gradagem",Pouco degradado,Barrolândia,1
Pastagem nativa,Pouco degradado,Tocantínia,1
"Roça de toco, Plantio convencional",,Rio Sono,1
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,São Salvador do Tocantins,1
"Plantio convencional, Uso de agrotóxicos",,Marianópolis do Tocantins,1
Não usa,,Lagoa da Confusão,1
"Aração e gradagem, Monocultura",Degradação Média,Nova Rosalândia,1
"Plantio convencional, Aração e gradagem, Pastagem nativa, Monocultura",Degradação Média,Silvanópolis,1
"Roça de toco, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",Degradação Média,Pium,1
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Rio dos Bois,1
"Roça de toco, Plantio convencional, Pastagem nativa",Degradação Média,Babaçulândia,1
"Plantio convencional, Queimadas, Pastagem nativa",Pouco degradado,Goiatins,1
Não usa,Não possui degradação,Caseara,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,Aguiarnópolis,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,dois Irmãos do Tocantins,1
Aração e gradagem,Degradação Média,Silvanópolis,1
Aração e gradagem,Pouco degradado,Cachoeirinha,1
"Plantio convencional, Aração e gradagem, Queimadas",,Aragominas,1
Aração e gradagem,,Tupirama,1
"Roça de toco, Plantio convencional, Queimadas, Pastagem nativa",,Araguaína,1
"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa",,Silvanópolis,1
"Plantio convencional, Aração e gradagem, Pastagem nativa, Monocultura, Uso de agrotóxicos",,Nova Olinda,1
"Plantio convencional, Uso de agrotóxicos",Não possui degradação,Miranorte,1
"Roça de toco, Plantio convencional",Não possui degradação,Palmas,1
"Roça de toco, Aração e gradagem, Queimadas",Pouco degradado,Ananás,1
"Roça de toco, Aração e gradagem, Pastagem nativa",,Barrolândia,1
"Plantio convencional, Aração e gradagem, Monocultura",Pouco degradado,Santa Rita do Tocantins,1
"Plantio convencional, Aração e gradagem",Não possui degradação,Dianópolis,1
"Plantio convencional, Aração e gradagem, Pastagem nativa",Não possui degradação,Caseara,1
"Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",Não possui degradação,Pium,1
"Roça de toco, Aração e gradagem, Queimadas, Uso de agrotóxicos",Pouco degradado,Muricilândia,1
"Plantio convencional, Aração e gradagem",Pouco degradado,Abreulândia,1
Aração e gradagem,,Dianópolis,1
Aração e gradagem,Não possui degradação,Monte Santo do Tocantins,1
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Uso de agrotóxicos",Degradação Média,Xambioá,1
"Aração e gradagem, Não usa",Não possui degradação,Miranorte,1
Aração e gradagem,,Divinópolis do Tocantins,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Araguaína,1
"Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",Degradação Média,Jaú do Tocantins,1
"Aração e gradagem, Pastagem nativa",Não possui degradação,Pium,1
Não usa,,Paraíso do Tocantins,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Pugmil,1
Aração e gradagem,,Pium,1
"Plantio convencional, Aração e gradagem, Pastagem nativa, Monocultura, Uso de agrotóxicos",Não possui degradação,Nova Olinda,1
Pastagem nativa,Não possui degradação,Dianópolis,1
"Plantio convencional, Uso de agrotóxicos",Degradação Média,Palmeiras do Tocantins,1
"Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",Degradação Média,Monte do Carmo,1
"Roça de toco, Plantio convencional, Monocultura",,Monte do Carmo,1
"Roça de toco, Plantio convencional, Queimadas, Monocultura",,Xambioá,1
Plantio convencional,Degradação Média,Gurupi,1
"Plantio convencional, Aração e gradagem",,Peixe,1
Plantio convencional,Não possui degradação,Dueré,1
"Aração e gradagem, Uso de agrotóxicos",,Sítio Novo do Tocantins,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,Bandeirantes do Tocantins,1
"Plantio convencional, Aração e gradagem, Monocultura, Uso de agrotóxicos",,Nova Olinda,1
"Plantio convencional, Aração e gradagem, Pastagem nativa",Degradação Média,Dianópolis,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Itaguatins,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Degradação Média,Cariri do Tocantins,1
Monocultura,Pouco degradado,Paraíso do Tocantins,1
"Roça de toco, Aração e gradagem, Uso de agrotóxicos",Degradação Média,Porto Alegre do Tocantins,1
"Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",Pouco degradado,Pium,1
"Plantio convencional, Aração e gradagem, Queimadas, Uso de agrotóxicos",Pouco degradado,Santa Fé do Araguaia,1
Aração e gradagem,Pouco degradado,Pium,1
"Roça de toco, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",Não possui degradação,Nova Olinda,1
"Roça de toco, Não usa",Não possui degradação,Araguatins,1
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,,1
"Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos, CONTROLE BIOLÓGICO DE PRAGAS E DOENÇAS.",Pouco degradado,Dianópolis,1
"Plantio convencional, Aração e gradagem",Não possui degradação,Dianópolis,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Muito degradado,Rio da Conceição,1
Plantio convencional,Não possui degradação,Almas,1
"Queimadas, Pastagem nativa, Uso de agrotóxicos",Degradação Média,Bandeirantes do Tocantins,1
"Roça de toco, Plantio convencional",Muito degradado,Chapada de Areia,1
"Roça de toco, Queimadas, Pastagem nativa, Monocultura, Não usa",Não possui degradação,Esperantina,1
"Queimadas, Uso de agrotóxicos",,Esperantina,1
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa",Pouco degradado,Goiatins,1
Uso de agrotóxicos,Não possui degradação,Axixá do Tocantins,1
"Plantio convencional, Pastagem nativa, Monocultura, Uso de agrotóxicos",Não possui degradação,Luzinópolis,1
"Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",Não possui degradação,Almas,1
"Roça de toco, Aração e gradagem, Pastagem nativa",Não possui degradação,Paranã,1
"Roça de toco, Plantio convencional, Queimadas",,Almas,1
"Plantio convencional, Pastagem nativa",Pouco degradado,Piraquê,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Fortaleza do Tabocão,1
"Plantio convencional, Aração e gradagem",,Miracema do Tocantins,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Rio dos Bois,1
"Roça de toco, Aração e gradagem, Uso de agrotóxicos",Degradação Média,Piraquê,1
"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa",Não possui degradação,Rio Sono,1
"Roça de toco, Aração e gradagem",,Almas,1
Roça de toco,Não possui degradação,Dianópolis,1
"Roça de toco, Plantio convencional, Aração e gradagem",Não possui degradação,Dianópolis,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Guaraí,1
"Plantio convencional, Aração e gradagem, Queimadas, Uso de agrotóxicos",Pouco degradado,Guaraí,1
"Plantio convencional, Aração e gradagem,",Pouco degradado,Dianópolis,1
"Plantio convencional, Aração e gradagem, Pastagem nativa, Monocultura",Pouco degradado,Fátima,1
Aração e gradagem,Não possui degradação,Dianópolis,1
"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa",Pouco degradado,Novo Acordo,1
"Plantio convencional, Aração e gradagem, Pastagem nativa",Não possui degradação,Almas,1
"Roça de toco, Aração e gradagem",Pouco degradado,Pium,1
"Pastagem nativa, Uso de agrotóxicos",Pouco degradado,Divinópolis do Tocantins,1
"Roça de toco, Pastagem nativa",Não possui degradação,Nova Olinda,1
"Roça de toco, Aração e gradagem",Não possui degradação,Dianópolis,1
"Plantio convencional, Aração e gradagem",Não possui degradação,Bom Jesus do Tocantins,1
Aração e gradagem,Não possui degradação,Chapada de Areia,1
"Roça de toco, Queimadas, Uso de agrotóxicos",Pouco degradado,Muricilândia,1
"Roça de toco, Plantio convencional, Aração e gradagem",,Araguaçu,1
Aração e gradagem,,Ananás,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Palmeiras do Tocantins,1
Aração e gradagem,,Novo Acordo,1
Aração e gradagem,Pouco degradado,Pium,1
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Monocultura, Uso de agrotóxicos",Não possui degradação,Araguatins,1
"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",Não possui degradação,Dianópolis,1
Não usa,,Monte Santo do Tocantins,1
"Plantio convencional, Aração e gradagem, Não usa",Degradação Média,Filadélfia,1
"Roça de toco, Plantio convencional, Aração e gradagem",Degradação Média,Nova Rosalândia,1
"Roça de toco, Aração e gradagem, Queimadas, Pastagem nativa",,Pedro Afonso,1
"Aração e gradagem, Pastagem nativa",Pouco degradado,Santa Maria do Tocantins,1
Uso de agrotóxicos,,Sítio Novo do Tocantins,1
"Plantio convencional, Aração e gradagem, Monocultura, Uso de agrotóxicos",,dois Irmãos do Tocantins,1
"Aração e gradagem, Pastagem nativa",,Santa Maria do Tocantins,1
"Aração e gradagem, Pastagem nativa",Não possui degradação,Bom Jesus do Tocantins,1
"Plantio convencional, Monocultura, Uso de agrotóxicos",Pouco degradado,Araguaína,1
Uso de agrotóxicos,,Sítio Novo do Tocantins,1
Não usa,,Caseara,1
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Palmeiras do Tocantins,1
"Roça de toco, Aração e gradagem",,Tupirama,1
"Plantio convencional, Aração e gradagem",,Fátima,1
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,,1
Roça de toco,,Tocantínia,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,dois Irmãos do Tocantins,1
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Cristalândia,1
"Plantio convencional, Aração e gradagem, Pastagem nativa, Não usa",Não possui degradação,Rio Sono,1
Monocultura,Degradação Média,Marianópolis do Tocantins,1
"Roça de toco, Plantio convencional, Aração e gradagem",Não possui degradação,Paranã,1
Não usa,Não possui degradação,Caseara,1
"Roça de toco, Aração e gradagem, Uso de agrotóxicos",,Ananás,1
"Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",Pouco degradado,Silvanópolis,1
"Roça de toco, Aração e gradagem, Pastagem nativa",,Nova Olinda,1
"Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",Pouco degradado,Santa Maria do Tocantins,1
"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa, Não usa",,Nova Olinda,1
Não usa,Não possui degradação,Dianópolis,1
"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Uso de agrotóxicos",,Nova Olinda,1
"Aração e gradagem, Uso de agrotóxicos",Degradação Média,Luzinópolis,1
Uso de agrotóxicos,Não possui degradação,Pium,1
Aração e gradagem,Não possui degradação,Carmolândia,1
"Roça de toco, Plantio convencional, Aração e gradagem",,Babaçulândia,1
"Plantio convencional, Aração e gradagem",,Palmeirópolis,1
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Dianópolis,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Marianópolis do Tocantins,1
"Aração e gradagem, Monocultura, Uso de agrotóxicos",Pouco degradado,Araguaína,1
"Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",,Palmas,1
"Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",,Angico,1
"Plantio convencional, Aração e gradagem, Pastagem nativa",,Palmas,1
"Plantio convencional, Aração e gradagem, Pastagem nativa, Monocultura",Degradação Média,Nova Olinda,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,dois Irmãos do Tocantins,1
"Plantio convencional, Aração e gradagem, Pastagem nativa",Não possui degradação,Itaguatins,1
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Wanderlândia,1
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Marianópolis do Tocantins,1
"Plantio convencional, Aração e gradagem",Pouco degradado,Fátima,1
"Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",,Wanderlândia,1
"Plantio convencional, Aração e gradagem, Pastagem nativa",,Babaçulândia,1
"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Monocultura, Uso de agrotóxicos",Degradação Média,Nova Olinda,1
"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",Pouco degradado,Nova Olinda,1
"Plantio convencional, Aração e gradagem",,Tupirama,1
"Plantio convencional, Aração e gradagem, Pastagem nativa, Não usa",Pouco degradado,Novo Acordo,1
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Rio Sono,1
"Roça de toco, Pastagem nativa",,Paranã,1
"Roça de toco, Plantio convencional",,Luzinópolis,1
"Aração e gradagem, Queimadas",Pouco degradado,Bom Jesus do Tocantins,1
"Plantio convencional, Aração e gradagem",,Lajeado,1
"Roça de toco, Queimadas, Pastagem nativa, Monocultura",,Filadélfia,1
Pastagem nativa,,Caseara,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Palmeiras do Tocantins,1
"Aração e gradagem, Pastagem nativa",Pouco degradado,Miracema do Tocantins,1
"Roça de toco, Queimadas, Monocultura",,Couto Magalhães,1
Plantio convencional,,Paraíso do Tocantins,1
"Plantio convencional, Aração e gradagem, Queimadas, Uso de agrotóxicos",Pouco degradado,Aragominas,1
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Marianópolis do Tocantins,1
"Plantio convencional, Queimadas, Pastagem nativa",Pouco degradado,Paranã,1
Plantio convencional,Pouco degradado,Palmas,1
"Plantio convencional, Aração e gradagem, Queimadas, Uso de agrotóxicos",Pouco degradado,Paranã,1
"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Uso de agrotóxicos",Pouco degradado,Paranã,1
"Plantio convencional, Uso de agrotóxicos",Não possui degradação,Guaraí,1
Aração e gradagem,Pouco degradado,Filadélfia,1
