atividade_produtiva,area_da_propriedade__hectares__,count
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura",50 - 100 ha,1
"Bovinocultura de Leite, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Olericultura",10 - 20 ha,1
"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura, Culturas Anuais",50 - 100 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Pisicultura, Mandiocultura, Olericultura, Culturas Anuais",50 - 100 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Fruticultura, Culturas Anuais",100 - 200 ha,1
"Bovinocultura de Leite, Apicultura/meliponicultura, Pisicultura, Fruticultura, VIVEIRO DE MUDAS FRUTÍFERAS",1 - 5 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura",100 - 200 ha,1
"Bovinocultura de corte, Avicultura, Fruticultura",10 - 20 ha,1
"Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais",10 - 20 ha,1
"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Culturas Anuais",20 - 50 ha,1
"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais",10 - 20 ha,1
"Bovinocultura de corte, Avicultura, Olericultura",1 - 5 ha,1
"Bovinocultura de corte, Avicultura, Ovinocaprinocultura, Mandiocultura, Fruticultura",20 - 50 ha,1
"Avicultura, Suinocultura, Pisicultura",20 - 50 ha,1
"Mandiocultura, Fruticultura, Olericultura",5 - 10 ha,1
"Suinocultura, Mandiocultura, Fruticultura",50 - 100 ha,1
"Bovinocultura de Leite, Avicultura, Fruticultura",50 - 100 ha,1
"Bovinocultura de corte, Avicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",20 - 50 ha,1
Extrativismo Vegetal,10 - 20 ha,1
Apicultura/meliponicultura,Até 1 ha,1
"Avicultura, Suinocultura, Mandiocultura",5 - 10 ha,1
Horticultura,1 - 5 ha,1
Mandiocultura,50 - 100 ha,1
"Bovinocultura de corte, Avicultura, Mandiocultura, Fruticultura, Culturas Anuais",20 - 50 ha,1
"Avicultura, Mandiocultura, Olericultura",Até 1 ha,1
"Avicultura, Suinocultura, Mandiocultura, Fruticultura",50 - 100 ha,1
"Avicultura, Suinocultura, Mandiocultura, Fruticultura",5 - 10 ha,1
"Bovinocultura de corte, Avicultura, Mandiocultura, Fruticultura",50 - 100 ha,1
"Bovinocultura de Leite, Avicultura, Ovinocaprinocultura, Mandiocultura",5 - 10 ha,1
"Avicultura, Suinocultura, Mandiocultura, Olericultura, Extrativismo Vegetal",50 - 100 ha,1
"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura, Fruticultura",50 - 100 ha,1
"Bovinocultura de corte, Apicultura/meliponicultura, Pisicultura, Culturas Anuais",20 - 50 ha,1
"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",1 - 5 ha,1
"Bovinocultura de corte, Avicultura, Apicultura/meliponicultura, Mandiocultura, Extrativismo Vegetal",20 - 50 ha,1
"Bovinocultura de corte, Olericultura",1 - 5 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Fruticultura, Culturas Anuais, Extrativismo Vegetal",20 - 50 ha,1
"Bovinocultura de Leite, Avicultura, Suinocultura, Apicultura/meliponicultura",20 - 50 ha,1
"Bovinocultura de corte, Ovinocaprinocultura, Mandiocultura",20 - 50 ha,1
"Bovinocultura de corte, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais, Extrativismo Vegetal",50 - 100 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Pisicultura, Mandiocultura, Fruticultura, Olericultura",50 - 100 ha,1
"Bovinocultura de corte, Avicultura, Pisicultura, Mandiocultura, Culturas Anuais",20 - 50 ha,1
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Culturas Anuais, Extrativismo Vegetal",50 - 100 ha,1
"Bovinocultura de Leite, Avicultura, Suinocultura, Pisicultura, Mandiocultura",1 - 5 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",Até 1 ha,1
"Pisicultura, Mandiocultura",20 - 50 ha,1
"Bovinocultura de corte, Culturas Anuais",100 - 200 ha,1
"Avicultura, Suinocultura, Ovinocaprinocultura, Mandiocultura",20 - 50 ha,1
"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura",20 - 50 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura, Extrativismo Vegetal",50 - 100 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Pisicultura, Mandiocultura, Fruticultura",50 - 100 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Fruticultura, Culturas Anuais, Extrativismo Vegetal",20 - 50 ha,1
"Bovinocultura de corte, Avicultura, Pisicultura, Mandiocultura, Olericultura",50 - 100 ha,1
"Bovinocultura de corte, Avicultura, Suinocultura, Pisicultura, Mandiocultura",50 - 100 ha,1
"Bovinocultura de Leite, Avicultura, Fruticultura, Olericultura, Culturas Anuais",20 - 50 ha,1
"Bovinocultura de corte, Culturas Anuais",50 - 100 ha,1
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Olericultura",10 - 20 ha,1
"Bovinocultura de corte, Avicultura, Mandiocultura, Culturas Anuais",10 - 20 ha,1
"Avicultura, Mandiocultura",1 - 5 ha,1
Ovinocaprinocultura,1 - 5 ha,1
Pisicultura,10 - 20 ha,1
Avicultura,100 - 200 ha,1
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Olericultura",20 - 50 ha,1
"Pisicultura, Mandiocultura",5 - 10 ha,1
"Apicultura/meliponicultura, Olericultura",20 - 50 ha,1
"Bovinocultura de Leite, Avicultura, Pisicultura, Mandiocultura, Culturas Anuais",5 - 10 ha,1
"Mandiocultura, Fruticultura, Extrativismo Vegetal",10 - 20 ha,1
"Avicultura, Pisicultura, Fruticultura, Olericultura",5 - 10 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Olericultura",10 - 20 ha,1
"Bovinocultura de Leite, Avicultura, Culturas Anuais",20 - 50 ha,1
"Avicultura, Suinocultura, Mandiocultura, Extrativismo Vegetal",20 - 50 ha,1
"Mandiocultura, Olericultura, Culturas Anuais",20 - 50 ha,1
