municipio_ibge,uso_de_praticas_convencionais,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,total_respostas,regional
Silvanópolis,Uso de agrotóxicos,Degradação Média,2,Porto Nacional
Silvanópolis,Uso de agrotóxicos,Pouco degradado,4,Porto Nacional
Sucupira,Aração,Muito degradado,1,Gurupi
Sucupira,Aração,Não possui degradação,2,Gurupi
Sucupira,Aração,Pouco degradado,2,Gurupi
Sucupira,Gradagem,Muito degradado,1,Gurupi
Sucupira,Gradagem,Não possui degradação,2,Gurupi
Sucupira,Gradagem,Pouco degradado,2,Gurupi
Sucupira,Não usa,Pouco degradado,1,Gurupi
Sucupira,Pastagem nativa,Não possui degradação,1,Gurupi
Sucupira,Queimadas,Pouco degradado,1,Gurupi
São Bento do Tocantins,Aração,Pouco degradado,1,Araguatins
São Bento do Tocantins,Gradagem,Pouco degradado,1,Araguatins
São Bento do Tocantins,Monocultura,Pouco degradado,1,Araguatins
São Bento do Tocantins,Uso de agrotóxicos,Pouco degradado,1,Araguatins
São Miguel do Tocantins,Aração,Degradação Média,1,Araguatins
São Miguel do Tocantins,Gradagem,Degradação Média,1,Araguatins
São Miguel do Tocantins,Monocultura,Degradação Média,1,Araguatins
São Miguel do Tocantins,Queimadas,Degradação Média,1,Araguatins
São Miguel do Tocantins,Uso de agrotóxicos,Degradação Média,1,Araguatins
São Salvador do Tocantins,Aração,Degradação Média,2,Gurupi
São Salvador do Tocantins,Aração,Não possui degradação,2,Gurupi
São Salvador do Tocantins,Gradagem,Degradação Média,2,Gurupi
São Salvador do Tocantins,Gradagem,Não possui degradação,2,Gurupi
São Salvador do Tocantins,Plantio convencional,Degradação Média,2,Gurupi
São Salvador do Tocantins,Plantio convencional,Não possui degradação,1,Gurupi
São Salvador do Tocantins,Uso de agrotóxicos,Não possui degradação,1,Gurupi
Sítio Novo do Tocantins,Aração,Degradação Média,5,Araguatins
Sítio Novo do Tocantins,Gradagem,Degradação Média,5,Araguatins
Sítio Novo do Tocantins,Uso de agrotóxicos,Degradação Média,5,Araguatins
Talismã,Aração,Degradação Média,1,Gurupi
Talismã,Aração,Não possui degradação,2,Gurupi
Talismã,Gradagem,Degradação Média,1,Gurupi
Talismã,Gradagem,Não possui degradação,2,Gurupi
Talismã,Não usa,Não possui degradação,3,Gurupi
Talismã,Plantio convencional,Degradação Média,1,Gurupi
Talismã,Plantio convencional,Não possui degradação,9,Gurupi
Talismã,Queimadas,Não possui degradação,1,Gurupi
Talismã,Queimadas,Pouco degradado,1,Gurupi
Talismã,Roça de toco,Pouco degradado,1,Gurupi
Tocantínia,Aração,Degradação Média,1,Miracema
Tocantínia,Aração,Não possui degradação,1,Miracema
Tocantínia,Aração,Pouco degradado,2,Miracema
Tocantínia,Gradagem,Degradação Média,1,Miracema
Tocantínia,Gradagem,Não possui degradação,1,Miracema
Tocantínia,Gradagem,Pouco degradado,2,Miracema
Tocantínia,Pastagem nativa,Não possui degradação,1,Miracema
Tocantínia,Pastagem nativa,Pouco degradado,2,Miracema
Tocantínia,Plantio convencional,Não possui degradação,1,Miracema
Tocantínia,Queimadas,Não possui degradação,1,Miracema
Tocantínia,Queimadas,Pouco degradado,1,Miracema
Tocantínia,Uso de agrotóxicos,Pouco degradado,1,Miracema
Tupirama,Aração,Pouco degradado,1,Miracema
Tupirama,Gradagem,Pouco degradado,1,Miracema
Wanderlândia,Aração,Não possui degradação,1,Araguína
Wanderlândia,Aração,Pouco degradado,2,Araguína
Wanderlândia,Gradagem,Não possui degradação,1,Araguína
Wanderlândia,Gradagem,Pouco degradado,2,Araguína
Wanderlândia,Plantio convencional,Pouco degradado,1,Araguína
Wanderlândia,Queimadas,Pouco degradado,1,Araguína
Wanderlândia,Roça de toco,Pouco degradado,1,Araguína
Wanderlândia,Uso de agrotóxicos,Não possui degradação,1,Araguína
Wanderlândia,Uso de agrotóxicos,Pouco degradado,2,Araguína
Xambioá,Aração,Degradação Média,2,Araguína
Xambioá,Aração,Não possui degradação,1,Araguína
Xambioá,Aração,Pouco degradado,6,Araguína
Xambioá,Gradagem,Degradação Média,2,Araguína
Xambioá,Gradagem,Não possui degradação,1,Araguína
Xambioá,Gradagem,Pouco degradado,6,Araguína
Xambioá,Monocultura,Degradação Média,3,Araguína
Xambioá,Monocultura,Pouco degradado,6,Araguína
Xambioá,Plantio convencional,Degradação Média,8,Araguína
Xambioá,Plantio convencional,Não possui degradação,1,Araguína
Xambioá,Plantio convencional,Pouco degradado,8,Araguína
Xambioá,Queimadas,Degradação Média,7,Araguína
Xambioá,Queimadas,Pouco degradado,6,Araguína
Xambioá,Roça de toco,Degradação Média,8,Araguína
Xambioá,Roça de toco,Pouco degradado,7,Araguína
Xambioá,Uso de agrotóxicos,Degradação Média,12,Araguína
Xambioá,Uso de agrotóxicos,Não possui degradação,1,Araguína
Xambioá,Uso de agrotóxicos,Pouco degradado,4,Araguína
darcinópolis,Aração,Degradação Média,1,Araguatins
darcinópolis,Gradagem,Degradação Média,1,Araguatins
darcinópolis,Monocultura,Pouco degradado,1,Araguatins
darcinópolis,Pastagem nativa,Pouco degradado,1,Araguatins
darcinópolis,Plantio convencional,Degradação Média,1,Araguatins
darcinópolis,Plantio convencional,Pouco degradado,1,Araguatins
darcinópolis,Queimadas,Pouco degradado,1,Araguatins
darcinópolis,Roça de toco,Pouco degradado,1,Araguatins
darcinópolis,Uso de agrotóxicos,Degradação Média,1,Araguatins
darcinópolis,Uso de agrotóxicos,Pouco degradado,1,Araguatins
dois Irmãos do Tocantins,Aração,Degradação Média,1,Paraiso
dois Irmãos do Tocantins,Aração,Não possui degradação,2,Paraiso
dois Irmãos do Tocantins,Aração,Pouco degradado,11,Paraiso
dois Irmãos do Tocantins,Gradagem,Degradação Média,1,Paraiso
dois Irmãos do Tocantins,Gradagem,Não possui degradação,2,Paraiso
dois Irmãos do Tocantins,Gradagem,Pouco degradado,11,Paraiso
dois Irmãos do Tocantins,Plantio convencional,Degradação Média,1,Paraiso
dois Irmãos do Tocantins,Plantio convencional,Não possui degradação,2,Paraiso
dois Irmãos do Tocantins,Plantio convencional,Pouco degradado,10,Paraiso
dois Irmãos do Tocantins,Roça de toco,Degradação Média,1,Paraiso
dois Irmãos do Tocantins,Roça de toco,Pouco degradado,2,Paraiso
dois Irmãos do Tocantins,Uso de agrotóxicos,Degradação Média,2,Paraiso
dois Irmãos do Tocantins,Uso de agrotóxicos,Não possui degradação,2,Paraiso
dois Irmãos do Tocantins,Uso de agrotóxicos,Pouco degradado,14,Paraiso
